# HSK 2.0 level 1 word list (words exclusive to this level).
# One entry per line: simplified<TAB>traditional.
# Source: github.com/drkameleon/complete-hsk-vocabulary (MIT), wordlists/exclusive/old/1.json
爱	愛
八	八
爸爸	爸爸
杯子	杯子
北京	北京
本	本
不	不
不客气	不客氣
菜	菜
茶	茶
吃	吃
出租车	出租車
打电话	打電話
大	大
的	的
点	點
电脑	電腦
电视	電視
电影	電影
东西	東西
都	都
读	讀
对不起	對不起
多	多
多少	多少
儿子	兒子
二	二
饭馆	飯館
飞机	飛機
分钟	分鐘
高兴	高興
个	個
工作	工作
狗	狗
汉语	漢語
好	好
喝	喝
和	咊
很	很
后面	後面
回	回
会	會
火车站	火車站
几	几
家	傢
叫	叫
今天	今天
九	九
开	開
看	看
看见	看見
块	塊
来	來
老师	老師
了	了
冷	冷
里	裏
零	零
六	六
妈妈	媽媽
吗	嗎
买	買
猫	貓
没	沒
没关系	沒關係
米饭	米飯
名字	名字
明天	明天
哪	哪
那	那
呢	呢
能	能
你	你
年	年
女儿	女兒
朋友	朋友
漂亮	漂亮
苹果	蘋果
七	七
前面	前面
钱	錢
请	請
去	去
热	熱
人	人
认识	認識
日	日
三	三
商店	商店
上	上
上午	上午
少	少
什么	什麼
十	十
时候	時候
是	是
书	書
谁	誰
水	水
水果	水果
睡觉	睡覺
说话	說話
四	四
岁	嵗
他	他
她	她
太	太
天气	天氣
听	听
同学	同學
喂	喂
我	我
我们	我們
五	五
喜欢	喜歡
下	下
下午	下午
下雨	下雨
先生	先生
现在	現在
想	想
小	小
小姐	小姐
些	些
写	寫
谢谢	謝謝
星期	星期
学生	學生
学习	學習
学校	學校
一	一
衣服	衣服
医生	醫生
医院	醫院
椅子	椅子
有	有
月	月
再见	再見
在	在
怎么	怎麼
怎么样	怎麼樣
这	這
中国	中國
中午	中午
住	住
桌子	桌子
字	字
昨天	昨天
坐	坐
做	做
