# HSK 2.0 level 4 word list (words exclusive to this level).
# One entry per line: simplified<TAB>traditional.
# Source: github.com/drkameleon/complete-hsk-vocabulary (MIT), wordlists/exclusive/old/4.json
爱情	愛情
安排	安排
安全	安全
按时	按時
按照	按照
暗	晻
包括	包括
保护	保護
保证	保證
报道	報道
报名	報名
抱	抱
抱歉	抱歉
倍	倍
本来	本來
笨	笨
笔记本	筆記本
毕业	畢業
遍	徧
标准	標準
表达	表達
表格	表格
表扬	表揚
饼干	餅乾
并且	並且
博士	博士
不但	不但
不得不	不得不
不管	不管
不过	不過
不仅	不僅
部分	部分
擦	擦
猜	猜
材料	材料
参观	參觀
差不多	差不多
尝	嘗
场	場
超过	超過
吵	吵
成功	成功
成熟	成熟
成为	成為
诚实	誠實
乘坐	乘坐
吃惊	吃驚
抽烟	抽煙
出差	出差
出发	出發
出生	出生
传真	傳真
窗户	窗戶
词典	詞典
从来	從來
粗心	粗心
答案	答案
打扮	打扮
打扰	打擾
打印	打印
打折	打折
打针	打針
大夫	大夫
大概	大概
大使馆	大使館
大约	大約
代表	代表
代替	代替
戴	戴
弹	彈
当	噹
当地	當地
当时	當時
刀	刀
导游	導遊
到处	到處
到底	到底
道歉	道歉
地球	地球
地址	地址
得意	得意
等	等
底	底
调查	調查
掉	掉
丢	丟
动作	動作
堵车	堵車
肚子	肚子
断	斷
对	對
对话	對話
对面	對面
顿	頓
朵	朵
儿童	兒童
而	而
发	發
发生	發生
发展	發展
法律	法律
翻译	翻譯
烦恼	煩惱
反对	反對
反映	反映
范围	範圍
方法	方法
方面	方面
方向	方向
访问	訪問
放弃	放棄
放暑假	放暑假
分之	分之
份	份
丰富	豐富
风景	風景
否则	否則
符合	符合
父亲	父親
负责	負責
复印	複印
复杂	複雜
富	富
改变	改變
感动	感動
感觉	感覺
感情	感情
感谢	感謝
干	乹
干杯	乾杯
干燥	乾燥
刚刚	剛剛
高级	高級
个子	個子
各	各
工具	工具
工资	工資
公里	公里
共同	共同
购物	購物
够	夠
估计	估計
孤单	孤單
鼓励	鼓勵
鼓掌	鼓掌
故意	故意
顾客	顧客
挂	掛
关键	關鍵
