# HSK 2.0 level 5 word list (words exclusive to this level).
# One entry per line: simplified<TAB>traditional.
# Source: github.com/drkameleon/complete-hsk-vocabulary (MIT), wordlists/exclusive/old/5.json
唉	唉
爱护	愛護
爱惜	愛惜
爱心	愛心
安慰	安慰
安装	安裝
岸	㟁
把握	把握
摆	擺
班主任	班主任
办理	辦理
傍晚	傍晚
棒	棒
包裹	包裹
包含	包含
包子	包子
薄	薄
宝贝	寶貝
宝贵	寶貴
保持	保持
保存	保存
保留	保留
保险	保險
报告	報告
悲观	悲觀
背	揹
背景	背景
被子	被子
本科	本科
本领	本領
本质	本質
比例	比例
比如	比如
彼此	彼此
必然	必然
必需	必需
必要	必要
毕竟	畢竟
避免	避免
编辑	編輯
鞭炮	鞭炮
便	便
辩论	辯論
标点	標點
标志	標誌
表面	表面
表明	表明
表情	表情
表现	表現
丙	丙
病毒	病毒
玻璃	玻璃
脖子	脖子
博物馆	博物館
补充	補充
不安	不安
不必	不必
不得了	不得了
不断	不斷
不好意思	不好意思
不见得	不見得
不免	不免
不耐烦	不耐煩
不然	不然
不如	不如
不要紧	不要緊
不足	不足
布	佈
步骤	步驟
部门	部門
财产	財產
采访	採訪
采取	採取
彩虹	彩虹
踩	跴
参考	參考
参与	參與
餐厅	餐廳
残疾	殘疾
惭愧	慚愧
操场	操場
操心	操心
册	冊
厕所	廁所
测验	測驗
曾经	曾經
叉子	叉子
插	插
差别	差別
拆	拆
产品	產品
产生	產生
常识	常識
抄	抄
朝	朝
朝代	朝代
吵架	吵架
炒	炒
车库	車庫
车厢	車廂
彻底	徹底
沉默	沉默
趁	趁
称呼	稱呼
称赞	稱讚
成分	成分
成果	成果
成就	成就
成立	成立
成语	成語
成长	成長
承担	承擔
承认	承認
承受	承受
诚恳	誠懇
乘	乘
程度	程度
程序	程序
吃亏	吃虧
池子	池子
持续	持續
尺子	尺子
翅膀	翅膀
充电器	充電器
充分	充分
充满	充滿
冲	沖
宠物	寵物
抽屉	抽屜
抽象	抽象
丑	丑
臭	臭
出版	出版
出口	出口
出色	出色
出席	出席
